AIRPORT,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,AVG_TAXI_OUT,AVG_AIR_TIME,AVG_DISTANCE,TOTAL_AIR_SYSTEM_DELAY,TOTAL_AIRLINE_DELAY,TOTAL_WEATHER_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,NUM_AIRLINES,NUM_DESTINATIONS,PCT_WEATHER_DELAY,PCT_AIRLINE_DELAY,IATA_CODE,AIRPORT_NAME,STATE,LATITUDE,LONGITUDE,Cluster
11203,137,0,0,0.0,0.0,-4.021897810218978,9.859652745111584,-6.0,-3.5328467153284673,15.037233736770611,11.875912408759124,45.91970802919708,213.0,239.0,123.0,0.0,24.0,2,1,0.0,31.865284974093267,0,0,0,0.0,0.0,0
11252,112,0,0,0.0,0.0,-1.0535714285714286,8.668924812239256,-3.5,-4.723214285714286,10.336857714660072,14.580357142857142,59.651785714285715,366.0,1.0,55.0,0.0,86.0,1,1,0.0,38.732394366197184,0,0,0,0.0,0.0,0
11259,5603,37,7,0.6603605211493843,0.12493307156880243,9.586076632487858,34.25713091856035,0.0,4.928764166216945,39.051998879935695,11.767224320921029,94.76218744378485,690.909516100018,10500.0,14883.0,4394.0,25180.0,3,51,7.995341812689921,27.081172553086958,0,0,0,0.0,0.0,0
11267,714,5,2,0.700280112044818,0.2801120448179272,2.8783592644978784,27.059726691813033,-3.0,0.5346534653465347,29.432399642421085,14.745403111739746,76.9038189533239,474.14002828854314,1465.0,1208.0,238.0,1478.0,6,9,5.422647527910686,27.52335383914331,0,0,0,0.0,0.0,0
11274,83,0,0,0.0,0.0,-1.144578313253012,31.19729996529972,-6.0,-7.192771084337349,31.99979338017338,11.096385542168674,32.18072289156626,147.0,80.0,1.0,0.0,304.0,1,1,0.0,0.2597402597402597,0,0,0,0.0,0.0,0
11278,6442,48,7,0.7451102142191867,0.10866190624029803,4.780491623610459,33.65091851851955,-2.0,-1.0610615312353218,36.24642964587996,18.026773132926255,111.51557851886645,765.9881008298106,11686.0,14646.0,1153.0,18116.0,11,45,2.5284533233920308,32.11771671673867,0,0,0,0.0,0.0,0
11292,17135,29,23,0.16924423694193172,0.1342281879194631,5.830825967335948,25.922593661480896,-1.0,-1.2749517063747586,27.45681706197918,14.691330562547561,114.69964291986184,888.5466253000059,20239.0,36935.0,1727.0,45857.0,9,121,1.648561446381183,35.25745050497337,0,0,0,0.0,0.0,0
11298,19840,352,39,1.7741935483870968,0.19657258064516128,5.9138259036454315,33.33835147935615,-3.0,-0.2043292714278369,36.60135788726224,17.972852074656796,106.00915214149828,786.8637976245566,32533.0,57811.0,21845.0,46937.0,10,137,13.72811482724382,36.33032942448123,0,0,0,0.0,0.0,0
11308,111,0,0,0.0,0.0,5.675675675675675,43.264127942034904,-4.0,7.315315315315315,44.99231893677811,15.82882882882883,35.252252252252255,170.0,304.0,660.0,0.0,376.0,1,1,0.0,49.25373134328358,0,0,0,0.0,0.0,0
11315,57,0,0,0.0,0.0,4.508771929824562,77.21517310343532,-5.0,1.2456140350877194,79.43669552852276,15.12280701754386,70.33333333333333,481.0,41.0,617.0,0.0,0.0,1,1,0.0,93.76899696048632,0,0,0,0.0,0.0,0
11337,211,1,0,0.47393364928909953,0.0,3.1857142857142855,30.265314613036992,-3.0,5.8,30.58204120099145,16.695238095238096,51.96190476190476,271.7047619047619,408.0,606.0,19.0,637.0,2,2,1.1377245508982037,36.287425149700596,0,0,0,0.0,0.0,0
11413,171,1,2,0.5847953216374269,1.1695906432748537,9.571428571428571,121.36388454642702,-6.0,4.7976190476190474,120.18571255885267,11.910714285714286,74.375,500.76785714285717,100.0,1821.0,279.0,269.0,2,3,11.300121506682867,73.75455650060753,0,0,0,0.0,0.0,0
