ROUTE,TOTAL_FLIGHTS,CANCELLED_COUNT,DIVERTED_COUNT,DISTANCE,CANCELLATION_RATE,DIVERSION_RATE,AVG_DEP_DELAY,STD_DEP_DELAY,MEDIAN_DEP_DELAY,AVG_ARR_DELAY,STD_ARR_DELAY,MEDIAN_ARR_DELAY,AVG_AIR_TIME,STD_AIR_TIME,AVG_TAXI_OUT,AVG_TAXI_IN,AVG_ELAPSED_TIME,NUM_AIRLINES,DAILY_FREQUENCY,DELAY_VARIABILITY,Cluster
10397-12951,119,0,0,503,0.0,0.0,6.008403361344538,23.819766680580152,-2.0,3.1596638655462184,24.54155355175205,-3.0,78.94957983193277,6.43329361766702,16.319327731092436,6.453781512605042,101.72268907563026,2,0.32602739726027397,5.8998886316333214,2
10397-12953,675,1,2,762,0.14814814814814814,0.2962962962962963,7.732142857142857,27.77882052782241,-1.0,-6.53125,33.57042875302161,-15.0,102.9360119047619,6.907764536883583,15.864583333333334,8.836309523809524,127.63690476190476,3,1.8493150684931507,4.457484315753907,2
10397-12992,179,0,0,453,0.0,0.0,-0.05027932960893855,7.737457224667485,-2.0,-9.089385474860336,9.290737755808392,-11.0,69.04469273743017,2.9006415970819663,14.810055865921788,4.603351955307263,88.45810055865921,1,0.4904109589041096,0.9208427786764685,2
10397-13198,325,0,0,692,0.0,0.0,1.8923076923076922,11.084862157051647,-1.0,-7.6061538461538465,12.43794320412735,-10.0,102.31384615384616,4.039919512517103,15.996923076923077,5.9169230769230765,124.22769230769231,2,0.8904109589041096,1.4452383058067175,2
10397-13204,762,2,0,404,0.26246719160104987,0.0,4.973684210526316,20.707558900830666,-1.0,-0.9763157894736842,22.522527843328454,-6.5,60.055263157894736,3.327863551888006,14.967105263157896,7.363157894736842,82.38552631578948,4,2.0876712328767124,11.396219148421855,2
10397-13232,456,1,0,591,0.21929824561403508,0.0,4.221978021978022,19.06877075496065,-1.0,-6.786813186813187,20.36994421904611,-10.0,88.3934065934066,3.9121915565123184,14.415384615384616,6.035164835164835,108.84395604395604,2,1.2493150684931507,2.6159538864425573,2
10397-13244,293,0,0,332,0.0,0.0,2.04778156996587,11.249555707820543,-1.0,-6.351535836177474,13.280017923850355,-9.0,55.55631399317406,2.870683668220596,15.641638225255972,4.279863481228669,75.4778156996587,1,0.8027397260273973,1.8064276934485395,2
10397-13277,221,0,1,147,0.0,0.4524886877828055,4.3090909090909095,21.561315542816565,-3.0,1.8,24.036235963008153,-5.0,32.22727272727273,4.238676219017412,16.554545454545455,2.9681818181818183,51.75,1,0.6054794520547945,8.584369986788627,2
10397-13303,478,1,0,594,0.20920502092050208,0.0,3.1865828092243187,15.540296908494298,-1.0,-5.146750524109015,17.4846708049714,-9.0,83.75890985324948,5.001948072838125,16.38364779874214,7.19916142557652,107.34171907756813,3,1.3095890410958904,2.8445388724322505,2
10397-13342,288,0,0,669,0.0,0.0,5.260416666666667,25.29501670703262,-2.0,-4.472222222222222,25.566595269037954,-10.5,94.29861111111111,5.092290902501047,16.95138888888889,5.25,116.5,2,0.7890410958904109,4.672068170991707,2
